Dato;Forklaring;Inn;Ut;Saldo
2026-01-17;Innbetaling fra Becker GmbH / Faktura 1001;6062.50;;106062.50
2026-01-20;Innbetaling fra Becker GmbH / Faktura 1002;4218.75;;110281.25
2026-01-22;Innbetaling fra Fischer GmbH / Faktura 1003;24750.00;;135031.25
2026-01-25;Innbetaling fra Weber GmbH / Faktura 1004;17000.00;;152031.25
2026-01-28;Innbetaling fra Meyer GmbH / Faktura 1005;30312.50;;182343.75
2026-01-30;Betaling Lieferant Meyer GmbH;;-15550.00;166793.75
2026-02-02;Betaling Lieferant Becker GmbH;;-8650.00;158143.75
2026-02-03;Betaling Lieferant Hoffmann GmbH;;-11250.00;146893.75
2026-02-05;Bankgebyr;;-121.36;146772.39
2026-02-06;Bankgebyr;;-903.06;145869.33
