Dato;Forklaring;Inn;Ut;Saldo
2026-01-17;Innbetaling fra Weber GmbH / Faktura 1001;18000.00;;118000.00
2026-01-20;Innbetaling fra Schmidt GmbH / Faktura 1002;27562.50;;145562.50
2026-01-23;Innbetaling fra Müller GmbH / Faktura 1003;6937.50;;152500.00
2026-01-26;Innbetaling fra Richter GmbH / Faktura 1004;29812.50;;182312.50
2026-01-29;Innbetaling fra Weber GmbH / Faktura 1005;30562.50;;212875.00
2026-01-30;Betaling Lieferant Müller GmbH;;-10950.00;201925.00
2026-02-02;Betaling Lieferant Wagner GmbH;;-9950.00;191975.00
2026-02-04;Betaling Lieferant Hoffmann GmbH;;-13200.00;178775.00
2026-02-05;Renteinntekter;;-1022.08;177752.92
2026-02-07;Skattetrekk;1437.29;;179190.21
2026-02-08;Skattetrekk;;-563.30;178626.91
