Dato;Forklaring;Inn;Ut;Saldo
2026-01-17;Innbetaling fra Nilsen AS / Faktura 1001;30500.00;;130500.00
2026-01-18;Innbetaling fra Bakken AS / Faktura 1002;4250.00;;134750.00
2026-01-21;Innbetaling fra Larsen AS / Faktura 1003;25312.50;;160062.50
2026-01-24;Innbetaling fra Berg AS / Faktura 1004;11925.00;;171987.50
2026-01-26;Innbetaling fra Berg AS / Faktura 1005;12875.00;;184862.50
2026-01-28;Betaling Leverandor Nilsen AS;;-13700.00;171162.50
2026-01-30;Betaling Leverandor Johansen AS;;-12000.00;159162.50
2026-02-02;Betaling Leverandor Nilsen AS;;-18650.00;140512.50
2026-02-03;Renteinntekter;1752.68;;142265.18
2026-02-05;Skattetrekk;1611.14;;143876.32
