Dato;Forklaring;Inn;Ut;Saldo
2026-01-16;Innbetaling fra Oliveira Lda / Faktura 1001;28375.00;;128375.00
2026-01-17;Innbetaling fra Silva Lda / Faktura 1002;8062.50;;136437.50
2026-01-20;Innbetaling fra Ferreira Lda / Faktura 1003;19875.00;;156312.50
2026-01-21;Innbetaling fra Sousa Lda / Faktura 1004;5675.00;;161987.50
2026-01-23;Innbetaling fra Oliveira Lda / Faktura 1005;5125.00;;167112.50
2026-01-24;Betaling Fornecedor Martins Lda;;-6500.00;160612.50
2026-01-27;Betaling Fornecedor Pereira Lda;;-13050.00;147562.50
2026-01-29;Betaling Fornecedor Costa Lda;;-18900.00;128662.50
2026-01-30;Renteinntekter;127.20;;128789.70
2026-02-01;Skattetrekk;;-1413.40;127376.30
2026-02-02;Bankgebyr;1956.88;;129333.18
