Dato;Forklaring;Inn;Ut;Saldo
2026-01-18;Innbetaling fra Stølsvik AS / Faktura 1001;9625.00;;109625.00
2026-01-21;Innbetaling fra Brekke AS / Faktura 1002;7687.50;;117312.50
2026-01-23;Innbetaling fra Aasen AS / Faktura 1003;6500.00;;123812.50
2026-01-24;Innbetaling fra Lunde AS / Faktura 1004;14125.00;;137937.50
2026-01-25;Innbetaling fra Vik AS / Faktura 1005;15000.00;;152937.50
2026-01-27;Betaling Leverandor Brekke AS;;-11500.00;141437.50
2026-01-30;Betaling Leverandor Aasen AS;;-6400.00;135037.50
2026-02-01;Betaling Leverandor Eide AS;;-6200.00;128837.50
2026-02-02;Renteinntekter;;-1282.21;127555.29
2026-02-03;Renteinntekter;;-1910.48;125644.81
