Dato;Forklaring;Inn;Ut;Saldo
2026-01-16;Innbetaling fra Pérez SL / Faktura 1001;30750.00;;130750.00
2026-01-17;Innbetaling fra López SL / Faktura 1002;4750.00;;135500.00
2026-01-19;Innbetaling fra García SL / Faktura 1003;2225.00;;137725.00
2026-01-22;Innbetaling fra Romero SL / Faktura 1004;12750.00;;150475.00
2026-01-23;Innbetaling fra Torres SL / Faktura 1005;6500.00;;156975.00
2026-01-25;Betaling Proveedor González SL;;-19550.00;137425.00
2026-01-27;Betaling Proveedor Torres SL;;-19700.00;117725.00
2026-01-30;Betaling Proveedor Martínez SL;;-13200.00;104525.00
2026-02-01;Bankgebyr;1558.00;;106083.00
2026-02-02;Renteinntekter;1313.23;;107396.23
2026-02-04;Skattetrekk;389.79;;107786.02
