Dato;Forklaring;Inn;Ut;Saldo
2026-01-17;Innbetaling fra Weber GmbH / Faktura 1001;11312.50;;111312.50
2026-01-20;Innbetaling fra Meyer GmbH / Faktura 1002;20937.50;;132250.00
2026-01-23;Innbetaling fra Schneider GmbH / Faktura 1003;15312.50;;147562.50
2026-01-26;Innbetaling fra Müller GmbH / Faktura 1004;12593.75;;160156.25
2026-01-29;Innbetaling fra Müller GmbH / Faktura 1005;6500.00;;166656.25
2026-02-01;Betaling Lieferant Becker GmbH;;-17450.00;149206.25
2026-02-03;Betaling Lieferant Schneider GmbH;;-13500.00;135706.25
2026-02-06;Betaling Lieferant Meyer GmbH;;-7450.00;128256.25
2026-02-07;Skattetrekk;393.31;;128649.56
2026-02-08;Skattetrekk;;-301.90;128347.66
