Dato;Forklaring;Inn;Ut;Saldo
2026-01-18;Innbetaling fra Bernard SARL / Faktura 1001;6687.50;;106687.50
2026-01-19;Innbetaling fra Richard SARL / Faktura 1002;22187.50;;128875.00
2026-01-21;Innbetaling fra Durand SARL / Faktura 1003;5875.00;;134750.00
2026-01-24;Innbetaling fra Richard SARL / Faktura 1004;28312.50;;163062.50
2026-01-25;Innbetaling fra Leroy SARL / Faktura 1005;25750.00;;188812.50
2026-01-28;Betaling Fournisseur Robert SARL;;-11500.00;177312.50
2026-01-31;Betaling Fournisseur Dubois SARL;;-7750.00;169562.50
2026-02-03;Betaling Fournisseur Dubois SARL;;-12200.00;157362.50
2026-02-05;Renteinntekter;;-1611.42;155751.08
2026-02-07;Bankgebyr;470.40;;156221.48
2026-02-09;Skattetrekk;;-1784.22;154437.26
